esta‡ao;localizacao
Rato;38.72027311591678,  -9.153677332234896
Marques de Pombal;38.72501359622951,  -9.150026675378498
Picoas;38.73079462297521, -9.145966562398057
Saldanha;38.73416069367383,  -9.143942616627411
Campo Pequeno;38.74148134832563, -9.147208577888925
Entre Campos;38.74709683141783,  -9.14778122588899
Cidade Universitaria;38.75186327286258,  -9.158615377478716
Campo Grande;38.76034392852064,  -9.157338777740577
Quinta das Conchas;38.76722484611156, -9.15489327774022
Lumiar;38.77287443418619, -9.159361239116832
Ameixoeira;38.78007799834442, -9.159609960963612
Senhor Roubado;38.78585987616319, -9.172700132509274
Telheiras;38.76045622831004, -9.165745539117566
Alvalade;38.75357710751776, -9.143472308429448
Roma;38.748874312114864, -9.140060601751305
Areeiro;38.742740932826585, -9.133430376676218
Alameda;38.73741060902075, -9.133746681446809
Arroios;38.73345500179781, -9.134702609758374
Anjos;38.72644869208268, -9.134594539119565
Intendente;38.72235778823396, -9.13487985075922
Martim Moniz;38.71694059648366, -9.135334314513715
Rossio;38.71397541546141, -9.13799407959572
Baixa-Chiado;38.71097692108057, -9.139838302874704
Cais do Sodre;38.706302088166396, -9.144595731186282
Aeroporto;38.76993378975305, -9.12584902792435
Encarnacao;38.77515732936691, -9.11497552006759
Moscavide;38.7745981014276, -9.103215478775876
Oriente;38.76797704903974, -9.0986697372647
Cabo Ruivo;38.763337294393025, -9.10366560842889
Olivais;38.761413826513596, -9.111750325625732
Chelas;38.75564823715215, -9.113537366101482
Bela Vista;38.74784874940079, -9.118067206577376
Olaias;38.73968552754348, -9.12425160657789
Sao Sebastiao;38.734447121759324, -9.152493309217727
Santa Apolonia;38.71412044833561, -9.12295546980884
Terreiro do Pa‡o;38.7075950949425, -9.133366192563209
Restauradores;38.71529701234779, -9.14132015261205
Avenida;38.720264645180926, -9.145501139119936
Parque;38.72986225531213, -9.14981866425056
Pra‡a de Espanha;38.737745617521, -9.15805305975808
Jardim Zoologico;38.742339019355015, -9.169213324784087
Laranjeiras;38.748678585249664, -9.172001850757646
Alto dos Moinhos;38.74966928703114, -9.179351214511769
Colegio Militar/Luz;38.753471226335286, -9.188021991495193
Carnide;38.75940993636004, -9.192469828281203
Pontinha;38.76254745598381, -9.196608139117485
